Offset-Description                                                                   
0000 - Pointer           27847640 : P->00F278E0        277A9B40 : P->00F278E0        
0C40 - 4 Bytes           27848280 : 0                  277AA780 : 661225728          
0C44 - 4 Bytes           27848284 : 0                  277AA784 : 23                 
0C48 - 4 Bytes           27848288 : 0                  277AA788 : 0                  
0C4C - 4 Bytes           2784828C : 0                  277AA78C : 42                 
0C50 - 4 Bytes           27848290 : 0                  277AA790 : 661275776          
0C54 - 4 Bytes           27848294 : 0                  277AA794 : 23                 
0C58 - 4 Bytes           27848298 : 0                  277AA798 : 0                  
0C5C - 4 Bytes           2784829C : 0                  277AA79C : 42                 
0C60 - 4 Bytes           278482A0 : 0                  277AA7A0 : 655106048          
0C64 - 4 Bytes           278482A4 : 0                  277AA7A4 : 262167             
0C68 - 4 Bytes           278482A8 : 0                  277AA7A8 : 0                  
0C6C - Double            278482AC : 0.0078125          277AA7AC : 1.0269435865504E-121
0C74 - 4 Bytes           278482B4 : 0                  277AA7B4 : 24                 
0C78 - 4 Bytes           278482B8 : 0                  277AA7B8 : 0                  
0C7C - 4 Bytes           278482BC : 0                  277AA7BC : 42                 
0C80 - 4 Bytes           278482C0 : 0                  277AA7C0 : 869532832          
0C84 - 4 Bytes           278482C4 : 0                  277AA7C4 : 24                 
0C88 - 4 Bytes           278482C8 : 0                  277AA7C8 : 0                  
0C8C - 4 Bytes           278482CC : 0                  277AA7CC : 42                 
0C90 - 4 Bytes           278482D0 : 0                  277AA7D0 : 651229504          
0C94 - 4 Bytes           278482D4 : 0                  277AA7D4 : 24                 
0C98 - Double            278482D8 : 0.0078125          277AA7D8 : 8.91238232205414E-313
0CA0 - 4 Bytes           278482E0 : 0                  277AA7E0 : 661233600          
0CA4 - 4 Bytes           278482E4 : 0                  277AA7E4 : 24                 
0CA8 - 4 Bytes           278482E8 : 0                  277AA7E8 : 0                  
0CAC - 4 Bytes           278482EC : 0                  277AA7EC : 42                 
0CB0 - 4 Bytes           278482F0 : 0                  277AA7F0 : 655105984          
0CB4 - 4 Bytes           278482F4 : 0                  277AA7F4 : 262167             
0CB8 - 4 Bytes           278482F8 : 0                  277AA7F8 : 0                  
0CBC - 4 Bytes           278482FC : 0                  277AA7FC : 42                 
0CC0 - 4 Bytes           27848300 : 0                  277AA800 : 655104384          
0CC4 - 4 Bytes           27848304 : 0                  277AA804 : 262167             
0CC8 - 4 Bytes           27848308 : 0                  277AA808 : 0                  
0CCC - 4 Bytes           2784830C : 0                  277AA80C : 42                 
0CD0 - Double            27848310 : 0.0078125          277AA810 : 5.56317594194784E-309
0CD8 - Double            27848318 : 0.0078125          277AA818 : 8.91238232205414E-313
0CE0 - 4 Bytes           27848320 : 0                  277AA820 : 655104768          
0CE4 - 4 Bytes           27848324 : 0                  277AA824 : 23                 
0CE8 - 4 Bytes           27848328 : 4294967295         277AA828 : 0                  
0CEC - 4 Bytes           2784832C : 0                  277AA82C : 42                 
0CF0 - 4 Bytes           27848330 : 0                  277AA830 : 655106752          
0CF4 - 4 Bytes           27848334 : 0                  277AA834 : 23                 
0CF8 - 4 Bytes           27848338 : 0                  277AA838 : 0                  
0CFC - 4 Bytes           2784833C : 0                  277AA83C : 42                 
0D00 - 4 Bytes           27848340 : 0                  277AA840 : 655106688          
0D04 - 4 Bytes           27848344 : 0                  277AA844 : 262167             
0D08 - 4 Bytes           27848348 : 0                  277AA848 : 0                  
0D0C - 4 Bytes           2784834C : 0                  277AA84C : 42                 
0D10 - 4 Bytes           27848350 : 0                  277AA850 : 661223168          
0D14 - 4 Bytes           27848354 : 0                  277AA854 : 24                 
0D18 - 4 Bytes           27848358 : 0                  277AA858 : 0                  
0D1C - 4 Bytes           2784835C : 0                  277AA85C : 42                 
0D20 - 4 Bytes           27848360 : 0                  277AA860 : 655106624          
0D24 - 4 Bytes           27848364 : 0                  277AA864 : 262167             
0D28 - 4 Bytes           27848368 : 0                  277AA868 : 0                  
0D2C - Double            2784836C : 0.0078125          277AA86C : 1.36032354665167E-120
0D34 - 4 Bytes           27848374 : 0                  277AA874 : 262167             
0D38 - 4 Bytes           27848378 : 0                  277AA878 : 0                  
0D3C - 4 Bytes           2784837C : 0                  277AA87C : 42                 
0D40 - 4 Bytes           27848380 : 0                  277AA880 : 655104448          
0D44 - 4 Bytes           27848384 : 0                  277AA884 : 262167             
0D48 - 4 Bytes           27848388 : 0                  277AA888 : 0                  
0D4C - 4 Bytes           2784838C : 0                  277AA88C : 42                 
0D50 - 4 Bytes           27848390 : 0                  277AA890 : 655103872          
0D54 - 4 Bytes           27848394 : 0                  277AA894 : 23                 
0D58 - Double            27848398 : 0.0078125          277AA898 : 8.91238232205414E-313
0D60 - 4 Bytes           278483A0 : 0                  277AA8A0 : 661223296          
0D64 - 4 Bytes           278483A4 : 0                  277AA8A4 : 23                 
0D68 - 4 Bytes           278483A8 : 0                  277AA8A8 : 0                  
0D6C - 4 Bytes           278483AC : 0                  277AA8AC : 42                 
0D70 - 4 Bytes           278483B0 : 0                  277AA8B0 : 658880832          
0D74 - 4 Bytes           278483B4 : 0                  277AA8B4 : 24                 
0D78 - 4 Bytes           278483B8 : 0                  277AA8B8 : 0                  
0D7C - 4 Bytes           278483BC : 0                  277AA8BC : 42                 
0D80 - 4 Bytes           278483C0 : 0                  277AA8C0 : 658818112          
0D84 - 4 Bytes           278483C4 : 0                  277AA8C4 : 23                 
0D88 - 4 Bytes           278483C8 : 0                  277AA8C8 : 0                  
0D8C - 4 Bytes           278483CC : 0                  277AA8CC : 42                 
0D90 - Double            278483D0 : 0.0078125          277AA8D0 : 5.56317594194342E-309
0D98 - Double            278483D8 : 0.0078125          277AA8D8 : 8.91238232205414E-313
0DA0 - 4 Bytes           278483E0 : 0                  277AA8E0 : 655111104          
0DA4 - 4 Bytes           278483E4 : 0                  277AA8E4 : 262167             
0DA8 - 4 Bytes           278483E8 : 4294967295         277AA8E8 : 0                  
0DAC - 4 Bytes           278483EC : 0                  277AA8EC : 42                 
0DB0 - 4 Bytes           278483F0 : 0                  277AA8F0 : 662507392          
0DB4 - 4 Bytes           278483F4 : 0                  277AA8F4 : 262167             
0DB8 - 4 Bytes           278483F8 : 0                  277AA8F8 : 0                  
0DBC - 4 Bytes           278483FC : 0                  277AA8FC : 42                 
0DC0 - 4 Bytes           27848400 : 0                  277AA900 : 655103744          
0DC4 - 4 Bytes           27848404 : 0                  277AA904 : 262167             
0DC8 - 4 Bytes           27848408 : 0                  277AA908 : 0                  
0DCC - 4 Bytes           2784840C : 0                  277AA90C : 42                 
0DD0 - 4 Bytes           27848410 : 0                  277AA910 : 658819008          
0DD4 - 4 Bytes           27848414 : 0                  277AA914 : 24                 
0DD8 - 4 Bytes           27848418 : 0                  277AA918 : 0                  
0DDC - 4 Bytes           2784841C : 0                  277AA91C : 42                 
0DE0 - 4 Bytes           27848420 : 0                  277AA920 : 661222848          
0DE4 - 4 Bytes           27848424 : 0                  277AA924 : 24                 
0DE8 - 4 Bytes           27848428 : 0                  277AA928 : 0                  
0DEC - Double            2784842C : 0.0078125          277AA92C : 7.90190278375274E-119
0DF4 - 4 Bytes           27848434 : 0                  277AA934 : 24                 
0DF8 - 4 Bytes           27848438 : 0                  277AA938 : 0                  
0DFC - 4 Bytes           2784843C : 0                  277AA93C : 42                 
0E00 - 4 Bytes           27848440 : 0                  277AA940 : 869680448          
0E04 - 4 Bytes           27848444 : 0                  277AA944 : 262167             
0E08 - 4 Bytes           27848448 : 0                  277AA948 : 0                  
0E0C - 4 Bytes           2784844C : 0                  277AA94C : 42                 
0E10 - 4 Bytes           27848450 : 0                  277AA950 : 868837376          
0E14 - 4 Bytes           27848454 : 0                  277AA954 : 262167             
0E18 - Double            27848458 : 0.0078125          277AA958 : 8.91238232205414E-313
0E20 - 4 Bytes           27848460 : 0                  277AA960 : 868836352          
0E24 - 4 Bytes           27848464 : 0                  277AA964 : 262167             
0E28 - 4 Bytes           27848468 : 0                  277AA968 : 0                  
0E2C - 4 Bytes           2784846C : 0                  277AA96C : 42                 
0E30 - 4 Bytes           27848470 : 0                  277AA970 : 868839168          
0E34 - 4 Bytes           27848474 : 0                  277AA974 : 262167             
0E38 - 4 Bytes           27848478 : 0                  277AA978 : 0                  
0E3C - 4 Bytes           2784847C : 0                  277AA97C : 42                 
0E40 - 4 Bytes           27848480 : 0                  277AA980 : 661218624          
0E44 - 4 Bytes           27848484 : 0                  277AA984 : 24                 
0E48 - 4 Bytes           27848488 : 0                  277AA988 : 0                  
0E4C - 4 Bytes           2784848C : 0                  277AA98C : 42                 
0E50 - Double            27848490 : 0.0078125          277AA990 : 4.92351654488229E-313
0E58 - Double            27848498 : 0.0078125          277AA998 : 8.91238232205414E-313
0E60 - 4 Bytes           278484A0 : 0                  277AA9A0 : 661218496          
0E64 - 4 Bytes           278484A4 : 0                  277AA9A4 : 24                 
0E68 - 4 Bytes           278484A8 : 4294967295         277AA9A8 : 0                  
0E6C - 4 Bytes           278484AC : 0                  277AA9AC : 42                 
0E70 - 4 Bytes           278484B0 : 0                  277AA9B0 : 655042368          
0E74 - 4 Bytes           278484B4 : 0                  277AA9B4 : 262167             
0E78 - 4 Bytes           278484B8 : 0                  277AA9B8 : 0                  
0E7C - 4 Bytes           278484BC : 0                  277AA9BC : 42                 
0E80 - 4 Bytes           278484C0 : 0                  277AA9C0 : 655110976          
0E84 - 4 Bytes           278484C4 : 0                  277AA9C4 : 262167             
0E88 - 4 Bytes           278484C8 : 0                  277AA9C8 : 0                  
0E8C - 4 Bytes           278484CC : 0                  277AA9CC : 42                 
0E90 - 4 Bytes           278484D0 : 0                  277AA9D0 : 661218880          
0E94 - 4 Bytes           278484D4 : 0                  277AA9D4 : 24                 
0E98 - 4 Bytes           278484D8 : 0                  277AA9D8 : 0                  
0E9C - 4 Bytes           278484DC : 0                  277AA9DC : 42                 
0EA0 - 4 Bytes           278484E0 : 0                  277AA9E0 : 1071032068         
0EA4 - 4 Bytes           278484E4 : 0                  277AA9E4 : 3207722622         
0EA8 - 4 Bytes           278484E8 : 0                  277AA9E8 : 1094168754         
0EAC - Double            278484EC : 0.0078125          277AA9EC : 0.374496042393468  
0EB4 - 4 Bytes           278484F4 : 0                  277AA9F4 : 3207721766         
0EB8 - 4 Bytes           278484F8 : 0                  277AA9F8 : 1094174828         
0EBC - 4 Bytes           278484FC : 0                  277AA9FC : 1067707385         
0EC0 - 4 Bytes           27848500 : 0                  277AAA00 : 1071166629         
0EC4 - 4 Bytes           27848504 : 0                  277AAA04 : 3207568976         
0EC8 - 4 Bytes           27848508 : 0                  277AAA08 : 1094177263         
0ECC - 4 Bytes           2784850C : 0                  277AAA0C : 1067635564         
0ED0 - 4 Bytes           27848510 : 0                  277AAA10 : 0                  
0ED4 - 4 Bytes           27848514 : 0                  277AAA14 : 0                  
0ED8 - Double            27848518 : 0.0078125          277AAA18 : 0                  
0EE0 - 4 Bytes           27848520 : 0                  277AAA20 : 0                  
0EE4 - 4 Bytes           27848524 : 0                  277AAA24 : 0                  
0EE8 - 4 Bytes           27848528 : 0                  277AAA28 : 0                  
0EEC - 4 Bytes           2784852C : 0                  277AAA2C : 0                  
0EF0 - 4 Bytes           27848530 : 0                  277AAA30 : 0                  
0EF4 - 4 Bytes           27848534 : 0                  277AAA34 : 0                  
0EF8 - 4 Bytes           27848538 : 0                  277AAA38 : 0                  
0EFC - 4 Bytes           2784853C : 0                  277AAA3C : 0                  
0F00 - 4 Bytes           27848540 : 0                  277AAA40 : 0                  
0F04 - 4 Bytes           27848544 : 0                  277AAA44 : 0                  
0F08 - 4 Bytes           27848548 : 0                  277AAA48 : 0                  
0F0C - 4 Bytes           2784854C : 0                  277AAA4C : 0                  
0F10 - 4 Bytes           27848550 : 0                  277AAA50 : 0                  
0F14 - 4 Bytes           27848554 : 0                  277AAA54 : 0                  
0F18 - 4 Bytes           27848558 : 0                  277AAA58 : 0                  
0F1C - 4 Bytes           2784855C : 0                  277AAA5C : 0                  
0F20 - 4 Bytes           27848560 : 0                  277AAA60 : 0                  
0F24 - 4 Bytes           27848564 : 0                  277AAA64 : 0                  
0F28 - 4 Bytes           27848568 : 0                  277AAA68 : 0                  
0F2C - 4 Bytes           2784856C : 0                  277AAA6C : 0                  
0F30 - 4 Bytes           27848570 : 0                  277AAA70 : 0                  
0F34 - 4 Bytes           27848574 : 0                  277AAA74 : 0                  
0F38 - 4 Bytes           27848578 : 0                  277AAA78 : 0                  
0F3C - 4 Bytes           2784857C : 0                  277AAA7C : 0                  
0F40 - 4 Bytes           27848580 : 0                  277AAA80 : 0                  
0F44 - 4 Bytes           27848584 : 0                  277AAA84 : 0                  
0F48 - 4 Bytes           27848588 : 0                  277AAA88 : 0                  
0F4C - 4 Bytes           2784858C : 0                  277AAA8C : 0                  
0F50 - 4 Bytes           27848590 : 0                  277AAA90 : 0                  
0F54 - 4 Bytes           27848594 : 0                  277AAA94 : 0                  
0F58 - 4 Bytes           27848598 : 0                  277AAA98 : 0                  
0F5C - 4 Bytes           2784859C : 0                  277AAA9C : 0                  
0F60 - 4 Bytes           278485A0 : 0                  277AAAA0 : 0                  
0F64 - 4 Bytes           278485A4 : 0                  277AAAA4 : 0                  
0F68 - 4 Bytes           278485A8 : 0                  277AAAA8 : 0                  
0F6C - 4 Bytes           278485AC : 0                  277AAAAC : 0                  
0F70 - 4 Bytes           278485B0 : 0                  277AAAB0 : 0                  
0F74 - 4 Bytes           278485B4 : 0                  277AAAB4 : 0                  
0F78 - 4 Bytes           278485B8 : 0                  277AAAB8 : 0                  
0F7C - 4 Bytes           278485BC : 0                  277AAABC : 0                  
0F80 - 4 Bytes           278485C0 : 0                  277AAAC0 : 0                  
0F84 - 4 Bytes           278485C4 : 0                  277AAAC4 : 0                  
0F88 - 4 Bytes           278485C8 : 0                  277AAAC8 : 0                  
0F8C - 4 Bytes           278485CC : 0                  277AAACC : 0                  
0F90 - 4 Bytes           278485D0 : 0                  277AAAD0 : 0                  
0F94 - 4 Bytes           278485D4 : 0                  277AAAD4 : 0                  
0F98 - 4 Bytes           278485D8 : 0                  277AAAD8 : 0                  
0F9C - 4 Bytes           278485DC : 0                  277AAADC : 0                  
0FA0 - 4 Bytes           278485E0 : 0                  277AAAE0 : 0                  
0FA4 - 4 Bytes           278485E4 : 0                  277AAAE4 : 0                  
0FA8 - 4 Bytes           278485E8 : 0                  277AAAE8 : 0                  
0FAC - 4 Bytes           278485EC : 0                  277AAAEC : 0                  
0FB0 - 4 Bytes           278485F0 : 0                  277AAAF0 : 0                  
0FB4 - 4 Bytes           278485F4 : 0                  277AAAF4 : 0                  
0FB8 - 4 Bytes           278485F8 : 0                  277AAAF8 : 0                  
0FBC - 4 Bytes           278485FC : 0                  277AAAFC : 0                  
0FC0 - 4 Bytes           27848600 : 0                  277AAB00 : 0                  
0FC4 - 4 Bytes           27848604 : 0                  277AAB04 : 0                  
0FC8 - 4 Bytes           27848608 : 0                  277AAB08 : 0                  
0FCC - 4 Bytes           2784860C : 0                  277AAB0C : 0                  
0FD0 - 4 Bytes           27848610 : 0                  277AAB10 : 0                  
0FD4 - 4 Bytes           27848614 : 0                  277AAB14 : 0                  
0FD8 - 4 Bytes           27848618 : 0                  277AAB18 : 0                  
0FDC - 4 Bytes           2784861C : 0                  277AAB1C : 0                  
0FE0 - 4 Bytes           27848620 : 0                  277AAB20 : 0                  
0FE4 - 4 Bytes           27848624 : 0                  277AAB24 : 0                  
0FE8 - 4 Bytes           27848628 : 0                  277AAB28 : 0                  
0FEC - 4 Bytes           2784862C : 0                  277AAB2C : 0                  
0FF0 - 4 Bytes           27848630 : 0                  277AAB30 : 0                  
0FF4 - 4 Bytes           27848634 : 0                  277AAB34 : 0                  
0FF8 - 4 Bytes           27848638 : 0                  277AAB38 : 0                  
0FFC - 4 Bytes           2784863C : 0                  277AAB3C : 0                  
